ID,cb_person_cred_hist_length,loan_amnt,loan_int_rate,loan_intent,loan_percent_income,person_education,person_gender,person_home_ownership,person_income,previous_loan_defaults_on_file,loan_status
0,10.0,22000.0,10.59,MEDICAL,0.23,Associate,male,MORTGAGE,96857.0,No,0.0
1,8.0,17210.0,16.33,MEDICAL,0.24,Master,female,RENT,71146.0,No,1.0
2,4.0,6500.0,10.99,DEBTCONSOLIDATION,0.08,High School,male,MORTGAGE,86214.0,No,0.0
3,8.0,10000.0,6.92,EDUCATION,0.17,Bachelor,male,MORTGAGE,58669.0,Yes,0.0
4,3.0,3600.0,11.83,EDUCATION,0.02,Bachelor,male,MORTGAGE,146028.0,Yes,0.0
5,16.0,8000.0,11.01,DEBTCONSOLIDATION,0.13,High School,male,RENT,61074.0,No,0.0
6,7.0,2850.0,13.48,PERSONAL,0.06,Master,male,MORTGAGE,51141.0,No,1.0
7,10.0,21999.0,6.91,VENTURE,0.1,Associate,male,MORTGAGE,228914.0,Yes,0.0
8,11.0,10000.0,11.01,HOMEIMPROVEMENT,0.15,High School,female,MORTGAGE,66983.0,No,0.0
9,3.0,10000.0,6.99,VENTURE,0.15,High School,female,MORTGAGE,67149.0,Yes,0.0
10,2.0,8400.0,11.01,MEDICAL,0.23,Bachelor,female,RENT,37260.0,No,1.0
11,2.0,24000.0,14.84,EDUCATION,0.32,Master,male,RENT,75959.0,No,1.0
12,5.0,18500.0,12.99,MEDICAL,0.25,High School,male,RENT,73008.0,No,1.0
13,2.0,5000.0,10.99,VENTURE,0.06,Bachelor,female,RENT,90826.0,Yes,0.0
14,3.0,3852.0,11.01,PERSONAL,0.07,Bachelor,male,MORTGAGE,56180.0,Yes,0.0
15,3.0,12000.0,11.01,PERSONAL,0.09,High School,male,OWN,133576.0,Yes,0.0
16,12.0,35000.0,8.9,DEBTCONSOLIDATION,0.19,Doctorate,male,MORTGAGE,182476.0,Yes,0.0
17,8.0,3000.0,11.12,MEDICAL,0.09,Bachelor,female,RENT,34217.0,No,1.0
18,2.0,14000.0,14.42,DEBTCONSOLIDATION,0.18,Bachelor,male,RENT,77835.0,No,1.0
19,3.0,22000.0,6.54,VENTURE,0.24,Associate,male,RENT,93314.0,No,0.0
20,22.0,5600.0,13.79,DEBTCONSOLIDATION,0.1,Associate,male,RENT,55194.0,No,0.0
21,8.0,8000.0,12.99,PERSONAL,0.08,Associate,male,MORTGAGE,104378.0,Yes,0.0
22,8.0,15000.0,13.92,EDUCATION,0.12,High School,male,MORTGAGE,123259.0,No,0.0
23,9.0,10000.0,11.14,VENTURE,0.1,Master,male,OWN,97242.0,Yes,0.0
24,10.0,7500.0,13.22,VENTURE,0.11,Master,female,MORTGAGE,65845.0,No,0.0
25,6.0,7000.0,12.18,PERSONAL,0.16,High School,male,RENT,44341.0,No,0.0
26,4.0,3200.0,8.0,MEDICAL,0.09,High School,female,RENT,36764.0,Yes,0.0
27,2.0,10400.0,11.01,DEBTCONSOLIDATION,0.17,Bachelor,male,RENT,62003.0,No,0.0
28,8.0,4800.0,6.76,EDUCATION,0.27,Master,female,RENT,17797.0,No,1.0
29,4.0,30000.0,17.27,PERSONAL,0.16,High School,male,RENT,192351.0,No,1.0
30,10.0,2100.0,6.99,DEBTCONSOLIDATION,0.04,High School,female,MORTGAGE,54919.0,No,0.0
31,7.0,2500.0,12.75,HOMEIMPROVEMENT,0.08,Associate,male,RENT,32186.0,Yes,0.0
32,2.0,13000.0,12.99,EDUCATION,0.23,Bachelor,male,MORTGAGE,55384.0,No,0.0
33,4.0,8000.0,7.49,PERSONAL,0.09,Associate,female,MORTGAGE,91256.0,No,1.0
34,3.0,4500.0,9.87,PERSONAL,0.07,Bachelor,female,MORTGAGE,66323.0,Yes,0.0
35,6.0,20000.0,15.67,HOMEIMPROVEMENT,0.18,Bachelor,male,MORTGAGE,109312.0,Yes,0.0
36,4.0,5000.0,9.09,HOMEIMPROVEMENT,0.05,Bachelor,female,RENT,94970.0,No,1.0
37,2.0,7000.0,11.01,EDUCATION,0.19,Bachelor,female,RENT,36942.0,No,1.0
38,4.0,5000.0,5.79,EDUCATION,0.03,High School,male,MORTGAGE,156952.0,Yes,0.0
39,2.0,3000.0,5.99,EDUCATION,0.03,Bachelor,male,MORTGAGE,106053.0,Yes,0.0
40,4.0,7000.0,16.29,MEDICAL,0.16,Master,female,OWN,43065.0,No,0.0
41,7.0,7000.0,6.92,EDUCATION,0.22,Bachelor,male,RENT,31145.0,Yes,0.0
42,4.0,7000.0,13.4,EDUCATION,0.16,Master,male,RENT,44486.0,Yes,0.0
43,3.0,18000.0,5.79,PERSONAL,0.19,Master,female,MORTGAGE,96914.0,Yes,0.0
44,3.0,6600.0,8.59,MEDICAL,0.15,Associate,male,RENT,42965.0,No,0.0
45,12.0,7000.0,15.38,EDUCATION,0.08,Bachelor,male,MORTGAGE,85896.0,Yes,0.0
46,9.0,9000.0,13.61,EDUCATION,0.12,Master,female,RENT,72822.0,Yes,0.0
47,7.0,9000.0,6.92,EDUCATION,0.13,Bachelor,male,MORTGAGE,69894.0,Yes,0.0
48,5.0,7332.0,8.58,EDUCATION,0.1,Associate,male,MORTGAGE,76259.0,Yes,0.0
49,2.0,14400.0,13.57,PERSONAL,0.33,Master,male,RENT,44225.0,No,1.0
50,3.0,9100.0,12.42,EDUCATION,0.09,Master,male,MORTGAGE,98167.0,Yes,0.0
51,3.0,2000.0,7.66,VENTURE,0.04,Master,female,RENT,47206.0,Yes,0.0
52,5.0,9809.0,7.52,MEDICAL,0.28,Bachelor,female,RENT,34594.0,No,1.0
53,2.0,14400.0,11.01,DEBTCONSOLIDATION,0.24,Bachelor,male,RENT,61194.0,Yes,0.0
54,3.0,4500.0,8.49,VENTURE,0.07,Bachelor,female,MORTGAGE,66718.0,Yes,0.0
55,2.0,7200.0,6.99,EDUCATION,0.05,Associate,male,MORTGAGE,137300.0,No,0.0
56,7.0,3250.0,14.11,VENTURE,0.11,Associate,male,RENT,28387.0,No,0.0
57,8.0,3400.0,13.49,EDUCATION,0.06,High School,male,RENT,53760.0,Yes,0.0
58,2.0,7500.0,15.23,DEBTCONSOLIDATION,0.08,Bachelor,female,MORTGAGE,96926.0,No,1.0
59,4.0,6000.0,9.63,DEBTCONSOLIDATION,0.09,Bachelor,female,MORTGAGE,68954.0,No,0.0
60,3.0,15000.0,13.61,MEDICAL,0.14,Bachelor,female,MORTGAGE,109509.0,Yes,0.0
61,7.0,2500.0,6.62,PERSONAL,0.06,Bachelor,male,MORTGAGE,44529.0,Yes,0.0
62,6.0,14000.0,9.63,DEBTCONSOLIDATION,0.09,Associate,female,RENT,150779.0,No,0.0
63,2.0,6000.0,12.98,PERSONAL,0.07,High School,female,MORTGAGE,92027.0,Yes,0.0
64,12.0,6000.0,7.29,PERSONAL,0.08,Associate,male,MORTGAGE,78193.0,Yes,0.0
65,7.0,4787.0,13.95,MEDICAL,0.18,Associate,male,RENT,26930.0,No,0.0
66,5.0,6000.0,10.85,DEBTCONSOLIDATION,0.08,Master,male,RENT,74105.0,No,0.0
67,4.0,9925.0,7.29,DEBTCONSOLIDATION,0.07,Associate,male,MORTGAGE,139848.0,Yes,0.0
68,3.0,12854.0,15.24,MEDICAL,0.25,High School,male,RENT,51465.0,No,1.0
69,9.0,13000.0,15.2,DEBTCONSOLIDATION,0.16,Associate,male,RENT,81304.0,No,1.0
70,4.0,13300.0,7.66,DEBTCONSOLIDATION,0.33,Master,female,RENT,40411.0,No,1.0
71,2.0,6000.0,10.59,EDUCATION,0.25,Master,female,RENT,23759.0,No,1.0
72,8.0,10000.0,6.92,VENTURE,0.16,High School,female,RENT,63615.0,Yes,0.0
73,4.0,2400.0,5.79,EDUCATION,0.04,Bachelor,male,MORTGAGE,59576.0,Yes,0.0
74,13.0,10289.0,14.66,DEBTCONSOLIDATION,0.14,Associate,male,RENT,74199.0,No,1.0
75,2.0,4000.0,7.51,MEDICAL,0.08,Master,female,MORTGAGE,48958.0,No,0.0
76,4.0,4303.0,9.44,EDUCATION,0.12,Master,male,MORTGAGE,37020.0,Yes,0.0
77,14.0,10800.0,14.43,EDUCATION,0.26,Associate,female,RENT,40861.0,No,1.0
78,2.0,35000.0,9.91,PERSONAL,0.39,High School,male,OWN,89116.0,Yes,0.0
79,4.0,16800.0,15.62,MEDICAL,0.15,Bachelor,male,MORTGAGE,111152.0,No,1.0
80,4.0,12500.0,5.99,EDUCATION,0.14,Master,female,MORTGAGE,90970.0,No,0.0
81,9.0,3700.0,7.9,EDUCATION,0.03,Associate,female,RENT,114008.0,No,0.0
82,10.0,6000.0,10.51,DEBTCONSOLIDATION,0.16,Bachelor,female,RENT,37334.0,Yes,0.0
83,4.0,5000.0,15.64,HOMEIMPROVEMENT,0.09,Associate,female,RENT,54004.0,No,1.0
84,6.0,12000.0,10.59,EDUCATION,0.32,Bachelor,female,MORTGAGE,36946.0,Yes,0.0
